person;shot_type;delta_time;coord_x;coord_y
mama​;1;0,7527019;15,45542;359,1281
mama​;1;0,6614203;93,76798;220,569
mama​;-1;0,9151509;0;0
mama​;1;1,104107;76,38287;274,992
maputo​;0;6,974142;0;0
maputo​;1;1,900722;202,8581;159,7806
maputo​;1;0,6508636;100,2087;109,938
maputo​;0;1,01544;0;0
maputo​;0;0,848223;0;0
maputo​;0;0,5605723;0;0
maputo​;1;0,7407284;526,2725;143,6492
asd​;1;0,7938931;167,6786;159,7401
asd​;1;0,6700405;20,58032;139,1048
asd​;1;1,084558;421,8203;80,44061
olp​;1;1,178117;217,9353;159,7971
olp​;1;0,6668674;160,8707;113,2078
olp​;1;0,9273837;99,30807;254,1426
